title,display_level,md5,sha256,beta_easy,beta_hard,alpha,has_data
gayguy [gaysabun],st2,982d95ea60d7faf8e4a7520f027bc935,2e768e8a75e88c9913da910f1881d460ebd704e0822a209ec0b60f3a1ad66730,-0.055,0.857,3.304,True
十十日月 -萌-,st2,985e530b1dbed71537b20990e0da531d,9a4be99a6a965c3eb70e977702341e6ad6745036a442484542316554eb40cc22,0.016,0.790,2.570,True
ハローワールド (EX),st2,985e91ac0ba1460509416ad164e793db,0712b2c6cf6088080fbb2373e8bdb54529efc664d9ed74cbb5eaf586b0fbc34c,0.148,0.726,4.592,True
Dark Sky -Bloody-,st3,987521b0e5e93f2cb833e447445a2db8,afffe991a3adcaca6fe144ee96b5ef66a6f6abf8c562eb6caa8f2c44a5caac10,0.239,0.983,4.134,True
INFERNAL REGION [INSANE],st1,98775c19800ef03c627fbbf8d9475360,bce21c95d5abb05e80a8c6bc7a20bec28775c1f7edb65fc942e62419bb946919,-0.555,0.140,6.697,True
Egypt [!!!],st4,988e8f8a39fe14013d25c5bc54a17551,0a055f840649416d9fd46ea8a6634c528b5b242965cbd1e5d7a115d6e589fc7f,0.603,1.804,4.685,True
Forty-Four [INSANE],st0,98a5fc8d05858c7342d03420858b8663,469c8f6cfd0fd100eab75391ca9d9acf09b592895a214bae2ea78488a7302eed,-0.928,-0.158,3.542,True
タイヨウパラダイス(Lemon beads J-core bootleg) [R-18],st0,98ce9d2537a1fe9b767fd495e1d7b339,a57a4a9d89f4ee0b626678427fbec3d02eaffdaf590081f0939af16eccb0b39e,-0.676,-0.121,5.772,True
flat by second [laner+],st0,9969a07a9bb6808dc25a8f1a7bf4c9ea,25653167214f8a7c81604723928d9193adaea83433ca1a19e248ceabce84c474,-0.829,-0.400,2.324,True
Prismrose [SP CATACLYSM],st1,9971d0309c48ff36bc5ae0cbc57b6dda,6a73397a3f6bbf6c3099a81b3caae21b25d9eb0794f5020abb432373ebe24015,-0.507,0.275,3.740,True
ハルトマンの妖怪少女～VirusⅤ [id],st5,99bacb3c81efb069023beaaf3fb14b94,a76e8b0e7ffd94fe5c00c717af98ff43f93ceaf1721508a2e9c678d4ad069ecf,0.901,1.210,3.274,True
